-----------------------------------------------------------------------------------------
Benchmark                               Time             CPU   Iterations UserCounters...
BM_exp_double_fast/2                 5.63 ns         5.63 ns    124254122 items_per_second=355.246M/s
BM_exp_double_fast/4                 5.95 ns         5.95 ns    117686908 items_per_second=672.198M/s
BM_exp_double_fast/8                 6.74 ns         6.74 ns    103780657 items_per_second=1.18677G/s
BM_exp_double_fast/16                9.48 ns         9.47 ns     74994877 items_per_second=1.68923G/s
BM_exp_double_fast/32                17.4 ns         17.4 ns     40427589 items_per_second=1.84181G/s
BM_exp_double_fast/64                32.6 ns         32.6 ns     21403964 items_per_second=1.96554G/s
BM_exp_double_fast/128               60.4 ns         60.4 ns     11458280 items_per_second=2.11867G/s
BM_exp_double_fast/256                115 ns          115 ns      6119757 items_per_second=2.21862G/s
BM_exp_double_very_fast/1            3.27 ns         3.27 ns    214520322 items_per_second=305.919M/s
BM_exp_double_very_fast/2            4.15 ns         4.15 ns    168411488 items_per_second=481.657M/s
BM_exp_double_very_fast/4            5.63 ns         5.63 ns    124429531 items_per_second=711.108M/s
BM_exp_double_very_fast/8            6.21 ns         6.21 ns    112513152 items_per_second=1.28788G/s
BM_exp_double_very_fast/16           7.18 ns         7.17 ns     97815104 items_per_second=2.23039G/s
BM_exp_double_very_fast/32           11.0 ns         11.0 ns     63337590 items_per_second=2.90102G/s
BM_exp_double_very_fast/64           20.6 ns         20.6 ns     34239543 items_per_second=3.10562G/s
BM_exp_double_very_fast/128          39.9 ns         39.9 ns     17624476 items_per_second=3.21137G/s
BM_exp_double_very_fast/256          72.7 ns         72.6 ns      9773881 items_per_second=3.52493G/s
BM_FM_exp_float/1                    6.57 ns         6.57 ns    105971409 items_per_second=152.291M/s
BM_FM_exp_float/2                    9.67 ns         9.67 ns     72504345 items_per_second=206.849M/s
BM_FM_exp_float/4                    11.7 ns         11.7 ns     60022450 items_per_second=342.765M/s
BM_FM_exp_float/8                    9.21 ns         9.20 ns     75963686 items_per_second=869.354M/s
BM_FM_exp_float/16                   12.7 ns         12.7 ns     55000586 items_per_second=1.2586G/s
BM_FM_exp_float/32                   20.8 ns         20.8 ns     33540378 items_per_second=1.54053G/s
BM_FM_exp_float/64                   37.3 ns         37.3 ns     18788585 items_per_second=1.71709G/s
BM_FM_exp_float/128                  70.7 ns         70.7 ns      9892983 items_per_second=1.81155G/s
BM_FM_exp_float/256                   150 ns          150 ns      4661834 items_per_second=1.70235G/s
BM_FM_exp_float_fast/1               3.51 ns         3.51 ns    198714688 items_per_second=284.805M/s
BM_FM_exp_float_fast/2               4.44 ns         4.44 ns    157621474 items_per_second=450.608M/s
BM_FM_exp_float_fast/4               5.38 ns         5.38 ns    130096524 items_per_second=744.055M/s
BM_FM_exp_float_fast/8               4.73 ns         4.73 ns    147736866 items_per_second=1.69097G/s
BM_FM_exp_float_fast/16              5.63 ns         5.63 ns    124416339 items_per_second=2.84282G/s
BM_FM_exp_float_fast/32              7.50 ns         7.50 ns     93178024 items_per_second=4.26637G/s
BM_FM_exp_float_fast/64              13.2 ns         13.2 ns     53321197 items_per_second=4.86282G/s
BM_FM_exp_float_fast/128             23.5 ns         23.5 ns     29833784 items_per_second=5.45334G/s
BM_FM_exp_float_fast/256             46.7 ns         46.7 ns     14991630 items_per_second=5.48445G/s
BM_FM_exp_float_very_fast/1          2.37 ns         2.37 ns    295512831 items_per_second=422.075M/s
BM_FM_exp_float_very_fast/2          3.56 ns         3.56 ns    197188533 items_per_second=562.481M/s
BM_FM_exp_float_very_fast/4          4.15 ns         4.14 ns    168979505 items_per_second=965.182M/s
BM_FM_exp_float_very_fast/8          4.44 ns         4.44 ns    157720417 items_per_second=1.80138G/s
BM_FM_exp_float_very_fast/16         4.78 ns         4.78 ns    146271594 items_per_second=3.34813G/s
BM_FM_exp_float_very_fast/32         6.12 ns         6.12 ns    115368612 items_per_second=5.23297G/s
BM_FM_exp_float_very_fast/64         7.96 ns         7.96 ns     88902338 items_per_second=8.04376G/s
BM_FM_exp_float_very_fast/128        12.6 ns         12.6 ns     55360449 items_per_second=10.1466G/s
BM_FM_exp_float_very_fast/256        28.2 ns         28.2 ns     25187427 items_per_second=9.08901G/s
BM_FM_exp_double/1                   9.38 ns         9.38 ns     76003289 items_per_second=106.596M/s
BM_FM_exp_double/2                   10.4 ns         10.4 ns     67608215 items_per_second=192.536M/s
BM_FM_exp_double/4                   16.8 ns         16.8 ns     42032794 items_per_second=238.714M/s
BM_FM_exp_double/8                   29.2 ns         29.1 ns     24289178 items_per_second=274.502M/s
BM_FM_exp_double/16                  51.9 ns         51.9 ns     13458209 items_per_second=308.185M/s
BM_FM_exp_double/32                  98.1 ns         98.1 ns      7134707 items_per_second=326.277M/s
BM_FM_exp_double/64                   191 ns          191 ns      3669874 items_per_second=335.858M/s
BM_FM_exp_double/128                  392 ns          392 ns      1785053 items_per_second=326.488M/s
BM_FM_exp_double/256                  755 ns          755 ns       926492 items_per_second=339.097M/s
BM_FM_exp_double_as_float/1          6.95 ns         6.94 ns    100820021 items_per_second=143.995M/s
BM_FM_exp_double_as_float/2          10.8 ns         10.8 ns     65005004 items_per_second=185.739M/s
BM_FM_exp_double_as_float/4          14.6 ns         14.6 ns     47967117 items_per_second=274.557M/s
BM_FM_exp_double_as_float/8          11.3 ns         11.3 ns     61785277 items_per_second=709.398M/s
BM_FM_exp_double_as_float/16         15.9 ns         15.9 ns     43947646 items_per_second=1.00662G/s
BM_FM_exp_double_as_float/32         27.6 ns         27.5 ns     25387644 items_per_second=1.16182G/s
BM_FM_exp_double_as_float/64         51.0 ns         51.0 ns     13726400 items_per_second=1.25444G/s
BM_FM_exp_double_as_float/128        98.7 ns         98.7 ns      7063718 items_per_second=1.29728G/s
BM_FM_exp_double_as_float/256         198 ns          198 ns      3522123 items_per_second=1.29094G/s
BM_FM_exp_double_fast/1              4.30 ns         4.30 ns    161924678 items_per_second=232.386M/s
BM_FM_exp_double_fast/2              6.41 ns         6.41 ns    108758149 items_per_second=311.906M/s
BM_FM_exp_double_fast/4              6.84 ns         6.84 ns    101332898 items_per_second=585.02M/s
BM_FM_exp_double_fast/8              6.77 ns         6.76 ns    102801389 items_per_second=1.18263G/s
BM_FM_exp_double_fast/16             9.52 ns         9.51 ns     73324749 items_per_second=1.68201G/s
BM_FM_exp_double_fast/32             17.3 ns         17.3 ns     40213193 items_per_second=1.85359G/s
BM_FM_exp_double_fast/64             32.6 ns         32.6 ns     21434919 items_per_second=1.96544G/s
BM_FM_exp_double_fast/128            61.2 ns         61.2 ns     11426195 items_per_second=2.09157G/s
BM_FM_exp_double_fast/256             124 ns          124 ns      5620566 items_per_second=2.0595G/s
BM_FM_exp_double_very_fast/1         2.66 ns         2.66 ns    262085879 items_per_second=375.405M/s
BM_FM_exp_double_very_fast/2         3.55 ns         3.55 ns    196734294 items_per_second=562.978M/s
BM_FM_exp_double_very_fast/4         4.74 ns         4.73 ns    147623788 items_per_second=844.938M/s
BM_FM_exp_double_very_fast/8         4.74 ns         4.74 ns    147710329 items_per_second=1.68937G/s
BM_FM_exp_double_very_fast/16        6.23 ns         6.22 ns    112125864 items_per_second=2.57047G/s
BM_FM_exp_double_very_fast/32        11.1 ns         11.1 ns     62868909 items_per_second=2.89036G/s
BM_FM_exp_double_very_fast/64        20.7 ns         20.7 ns     33553659 items_per_second=3.0868G/s
BM_FM_exp_double_very_fast/128       39.8 ns         39.8 ns     17501832 items_per_second=3.21966G/s
BM_FM_exp_double_very_fast/256       76.2 ns         76.2 ns      9123208 items_per_second=3.36063G/s
